Date,Price
12/18/2015,25011
12/21/2015,25302
12/22/2015,25176
12/23/2015,25004
12/24/2015,25147
12/28/2015,25077
12/29/2015,25106
12/30/2015,25017
12/31/2015,24952
1/1/2016,24943
1/4/2016,25423
1/5/2016,25430
1/6/2016,25756
1/7/2016,26106
1/8/2016,25989
1/11/2016,25877
1/12/2016,25689
1/13/2016,25750
1/14/2016,25652
1/15/2016,26126
1/18/2016,26070
1/19/2016,26064
1/20/2016,26563
1/21/2016,26190
1/22/2016,26168
1/25/2016,26391
1/27/2016,26736
1/28/2016,26701
1/29/2016,26709
2/1/2016,26973
2/2/2016,27008
2/3/2016,27285
2/4/2016,27656
2/5/2016,27568
2/8/2016,28367
2/9/2016,28325
2/10/2016,28211
2/11/2016,29706
2/12/2016,29287
2/15/2016,28595
2/16/2016,28800
2/17/2016,28781
2/18/2016,29210
2/19/2016,29432
2/22/2016,28916
2/23/2016,29234
2/24/2016,29523
2/25/2016,29735
2/26/2016,29290
2/29/2016,29437
3/1/2016,29097
3/2/2016,29219
3/3/2016,29381
3/4/2016,29519
3/7/2016,29597
3/8/2016,29819
3/9/2016,29597
3/10/2016,29928
3/11/2016,29504
3/14/2016,29204
3/15/2016,29050
3/16/2016,28970
3/17/2016,29357
3/18/2016,29135
3/21/2016,28937
3/22/2016,29047
3/23/2016,28568
3/24/2016,28560
3/28/2016,28400
3/29/2016,28616
3/30/2016,28301
3/31/2016,28441
4/1/2016,28056
4/4/2016,28086
4/5/2016,28562
4/6/2016,28571
4/7/2016,28972
4/8/2016,29047
4/11/2016,29254
4/12/2016,29250
4/13/2016,29128
4/14/2016,28731
4/15/2016,28918
4/18/2016,28935
4/19/2016,29255
4/20/2016,29249
4/21/2016,29287
4/22/2016,28941
4/25/2016,29183
4/26/2016,29158
4/27/2016,29319
4/28/2016,29627
4/29/2016,30138
5/2/2016,30213
5/3/2016,30154
5/4/2016,29934
5/5/2016,29868
5/6/2016,30366
5/9/2016,29805
5/10/2016,29785
5/11/2016,29933
5/12/2016,29904
5/13/2016,30023
5/16/2016,29963
5/17/2016,30045
5/18/2016,30049
5/19/2016,29800
5/20/2016,29693
5/23/2016,29682
5/24/2016,29306
5/25/2016,28945
5/26/2016,28729
5/27/2016,28590
5/30/2016,28590
5/31/2016,28610
6/1/2016,28626
6/2/2016,28554
6/3/2016,29216
6/6/2016,29329
6/7/2016,29239
6/8/2016,29491
6/9/2016,29757
6/10/2016,29851
6/13/2016,30181
6/14/2016,30357
6/15/2016,30262
6/16/2016,30392
6/17/2016,30373
6/20/2016,30478
6/21/2016,30072
6/22/2016,29898
6/23/2016,29686
6/24/2016,31131
6/27/2016,31218
6/28/2016,30999
6/29/2016,30986
6/30/2016,30851
7/1/2016,31077
7/4/2016,31396
7/5/2016,30841
7/6/2016,32018
7/7/2016,31817
7/8/2016,31657
7/11/2016,31524
7/12/2016,31001
7/13/2016,31225
7/14/2016,30895
7/15/2016,30922
7/18/2016,30950
7/19/2016,31021
7/20/2016,30666
7/21/2016,30940
7/22/2016,30794
7/25/2016,30814
7/26/2016,30822
7/27/2016,30878
7/28/2016,30795
7/29/2016,31099
8/1/2016,31011
8/2/2016,31282
8/3/2016,31199
8/4/2016,31317
8/5/2016,30779
8/8/2016,30998
8/9/2016,31133
8/10/2016,31219
8/11/2016,31171
8/12/2016,31080
8/16/2016,31349
8/17/2016,31314
8/18/2016,31411
8/19/2016,31365
8/22/2016,31395
8/23/2016,31373
8/24/2016,31049
8/25/2016,30945
8/26/2016,31023
8/29/2016,31077
8/30/2016,30840
8/31/2016,30746
9/1/2016,30710
9/2/2016,30900
9/5/2016,31025
9/6/2016,31401
9/7/2016,31336
9/8/2016,31239
9/9/2016,31261
9/12/2016,31087
9/13/2016,31141
9/14/2016,31100
9/15/2016,30950
9/16/2016,30851
9/19/2016,30936
9/20/2016,30892
9/21/2016,31207
9/22/2016,31335
9/23/2016,31288
9/26/2016,31351
9/27/2016,31003
9/28/2016,30963
9/29/2016,31224
9/30/2016,30814
10/3/2016,30749
10/4/2016,30068
10/5/2016,30004
10/6/2016,29615
10/7/2016,29591
10/10/2016,29662
10/11/2016,29712
10/12/2016,29662
10/13/2016,29697
10/14/2016,29638
10/17/2016,29675
10/18/2016,29773
10/19/2016,29883
10/20/2016,29891
10/21/2016,29936
